,lastName,firstName,state,party,chamber,gender,birthday,raceEthnicity,pre2018incumbent,citizenPopulation,medianHouseholdIncome,TweetCongress
221,Hoeven,John,ND,Republican,sen,M,3/13/1957,White - Non-Hispanic,Not up,721470.0,61285.0,MazieHirono
222,Holding,George,NC,Republican,rep,M,4/17/1968,White - Non-Hispanic,Won,758085.0,65792.0,SenJohnHoeven
223,Hollingsworth,Trey,IN,Republican,rep,M,9/12/1983,White - Non-Hispanic,Won,720475.0,55078.0,RepHolding
224,Horn,Kendra,OK,Democrat,rep,F,,White - Non-Hispanic,Lost,737920.0,49616.0,reptrey
225,Horsford,Steven,NV,Democrat,rep,M,4/29/1973,Black - African-American,Open - Retired,656295.0,55712.0,RepKendraHorn
226,Houlahan,Chrissy,PA,Democrat,rep,F,,White - Non-Hispanic,Open - Retired,679842.0,,RepHorsford
227,Hoyer,Steny,MD,Democrat,rep,M,6/14/1939,White - Non-Hispanic,Won,713485.0,95442.0,RepHoulahan
228,Hudson,Richard,NC,Republican,rep,M,11/4/1971,White - Non-Hispanic,Won,733695.0,50570.0,LeaderHoyer
229,Huffman,Jared,CA,Democrat,rep,M,2/18/1964,White - Non-Hispanic,Won,660390.0,66604.0,RepRichHudson
230,Huizenga,Bill,MI,Republican,rep,M,1/31/1969,White - Non-Hispanic,Won,701475.0,52919.0,RepHuffman
231,Hunter,Duncan,CA,Republican,rep,M,12/7/1976,White - Non-Hispanic,Won,657385.0,71692.0,RepHuizenga
232,Hurd,Will,TX,Republican,rep,M,8/19/1977,Black - African-American,Won,662600.0,51293.0,Rep_Hunter
233,Hyde-Smith,Cindy,MS,Republican,sen,F,5/10/1959,White - Non-Hispanic,Won,2946760.0,42009.0,hurdonthehill
234,Inhofe,James,OK,Republican,sen,M,11/17/1934,White - Non-Hispanic,Not up,3725970.0,49767.0,SenHydeSmith
235,Isakson,John,GA,Republican,sen,M,12/28/1944,White - Non-Hispanic,Not up,9507600.0,52977.0,InhofePress
236,Jackson Lee,Sheila,TX,Democrat,rep,F,1/12/1950,Black - African-American,Won,637240.0,42662.0,SenatorIsakson
237,Jayapal,Pramila,WA,Democrat,rep,F,9/21/1965,Asian - Indian,Won,669620.0,84579.0,JacksonLeeTX18
238,Jeffries,Hakeem,NY,Democrat,rep,M,8/4/1970,Black - African-American,Won,664565.0,51634.0,RepJayapal
239,Johnson,Ron,WI,Republican,sen,M,4/8/1955,White - Non-Hispanic,Not up,5599335.0,56759.0,RepJeffries
240,Johnson,Mike,LA,Republican,rep,M,1/30/1972,White - Non-Hispanic,Won,748995.0,39748.0,RepMikeJohnson
241,Johnson,Eddie,TX,Democrat,rep,F,12/3/1935,Black - African-American,Won,652185.0,44689.0,RepBillJohnson
242,Johnson,Bill,OH,Republican,rep,M,11/10/1954,White - Non-Hispanic,Won,703545.0,46839.0,RepHankJohnson
243,Johnson,Henry,GA,Democrat,rep,M,10/2/1954,Black - African-American,Won,667990.0,51686.0,SenRonJohnson
244,Johnson,Dusty,SD,Republican,rep,M,,White - Non-Hispanic,Open - Elected governor,833720.0,54467.0,RepDustyJohnson
245,Jones,Doug,AL,Democrat,sen,M,5/4/1954,White - Non-Hispanic,Lost in primary,4734505.0,46472.0,sendougjones
246,Jones,Walter,NC,Republican,rep,M,2/10/1943,White - Non-Hispanic,Won,729465.0,47565.0,Jim_Jordan
247,Jordan,Jim,OH,Republican,rep,M,2/17/1964,White - Non-Hispanic,Won,706585.0,52632.0,RepDaveJoyce
248,Joyce,John,PA,Republican,rep,M,,White - Non-Hispanic,Open - Retired,695469.0,,RepJohnJoyce
249,Joyce,David,OH,Republican,rep,M,3/17/1957,White - Non-Hispanic,Won,704510.0,63362.0,
250,Kaine,Timothy,VA,Democrat,sen,M,2/26/1958,White - Non-Hispanic,Won,7816285.0,68766.0,RepMarcyKaptur
251,Kaptur,Marcy,OH,Democrat,rep,F,6/17/1946,White - Non-Hispanic,Won,698945.0,41417.0,RepJohnKatko
252,Katko,John,NY,Republican,rep,M,11/9/1962,White - Non-Hispanic,Won,694615.0,56388.0,USRepKeating
253,Keating,William,MA,Democrat,rep,M,9/6/1952,White - Non-Hispanic,Won,707605.0,68173.0,MikeKellyPA
254,Kelly,Robin,IL,Democrat,rep,F,4/30/1956,Black - African-American,Won,679700.0,48417.0,reptrentkelly
255,Kelly,Mike,PA,Republican,rep,M,5/10/1948,White - Non-Hispanic,Won,689905.0,,RepRobinKelly
256,Kelly,Trent,MS,Republican,rep,M,3/1/1966,White - Non-Hispanic,Won,745525.0,43194.0,RepJoeKennedy
257,Kennedy,John,LA,Republican,sen,M,11/21/1951,White - Non-Hispanic,Not up,4535710.0,46710.0,SenJohnKennedy
258,Kennedy,Joseph,MA,Democrat,rep,M,10/4/1980,White - Non-Hispanic,Won,709785.0,98530.0,RepRoKhanna
259,Khanna,Ro,CA,Democrat,rep,M,9/13/1976,Asian - Indian,Won,579265.0,121150.0,RepDanKildee
260,Kildee,Daniel,MI,Democrat,rep,M,8/11/1958,White - Non-Hispanic,Won,680590.0,42800.0,RepDerekKilmer
261,Kilmer,Derek,WA,Democrat,rep,M,1/1/1974,White - Non-Hispanic,Won,666385.0,60616.0,RepAndyKimNJ
262,Kim,Andy,NJ,Democrat,rep,M,,Asian - Korean,Lost,715305.0,74537.0,RepRonKind
263,Kind,Ron,WI,Democrat,rep,M,3/16/1963,White - Non-Hispanic,Won,710120.0,52154.0,RepPeteKing
264,King,Peter,NY,Republican,rep,M,4/5/1944,White - Non-Hispanic,Won,657910.0,93362.0,SenAngusKing
265,King,Angus,ME,Independent,sen,M,3/31/1944,White - Non-Hispanic,Won,1308385.0,53024.0,SteveKingIA
266,King,Steve,IA,Republican,rep,M,5/28/1949,White - Non-Hispanic,Won,735425.0,53335.0,RepKinzinger
267,Kinzinger,Adam,IL,Republican,rep,M,2/27/1978,White - Non-Hispanic,Won,682605.0,57182.0,RepKirkpatrick
268,Kirkpatrick,Ann,AZ,Democrat,rep,F,3/24/1950,White - Non-Hispanic,Open - Ran for Senate,680785.0,49072.0,SenAmyKlobuchar
269,Klobuchar,Amy,MN,Democrat,sen,F,5/25/1960,White - Non-Hispanic,Won,5234815.0,65699.0,congressmanraja
270,Krishnamoorthi,Raja,IL,Democrat,rep,M,7/19/1973,Asian - Indian,Won,607320.0,67745.0,RepAnnieKuster
271,Kuster,Ann,NH,Democrat,rep,F,9/5/1956,White - Non-Hispanic,Won,642445.0,70524.0,repdavidkustoff
272,Kustoff,David,TN,Republican,rep,M,10/8/1966,White - Non-Hispanic,Won,695955.0,54145.0,RepLaHood
273,LaHood,Darin,IL,Republican,rep,M,7/5/1968,White - Middle Eastern - Lebanese,Won,698930.0,60857.0,RepLaMalfa
274,LaMalfa,Doug,CA,Republican,rep,M,7/2/1960,White - Non-Hispanic,Won,682190.0,47488.0,RepConorLamb
275,Lamb,Conor,PA,Democrat,rep,M,6/27/1984,White - Non-Hispanic,Lost,698069.0,,RepDLamborn
276,Lamborn,Doug,CO,Republican,rep,M,5/24/1954,White - Non-Hispanic,Won,737480.0,62372.0,JimLangevin
277,Langevin,James,RI,Democrat,rep,M,4/22/1964,White - Non-Hispanic,Won,500420.0,63976.0,SenatorLankford
278,Lankford,James,OK,Republican,sen,M,3/4/1968,White - Non-Hispanic,Not up,3725970.0,49767.0,RepRickLarsen
279,Larsen,Rick,WA,Democrat,rep,M,6/15/1965,White - Non-Hispanic,Won,659865.0,65187.0,RepJohnLarson
280,Larson,John,CT,Democrat,rep,M,7/22/1948,White - Non-Hispanic,Won,664790.0,70215.0,boblatta
281,Latta,Robert,OH,Republican,rep,M,4/18/1956,White - Non-Hispanic,Won,716710.0,57171.0,RepLawrence
282,Lawrence,Brenda,MI,Democrat,rep,F,10/18/1954,Black - African-American,Won,660515.0,42695.0,RepAlLawsonJr
283,Lawson,Al,FL,Democrat,rep,M,9/23/1948,Black - African-American,Won,692450.0,40932.0,SenatorLeahy
284,Leahy,Patrick,VT,Democrat,sen,M,3/31/1940,White - Non-Hispanic,Not up,613910.0,57808.0,RepBarbaraLee
285,Lee,Barbara,CA,Democrat,rep,F,7/16/1946,Black - African-American,Won,640105.0,73601.0,RepSusieLee
286,Lee,Susie,NV,Democrat,rep,F,,White - Non-Hispanic,Open - Elected to Senate,688880.0,68396.0,SenMikeLee
287,Lee,Mike,UT,Republican,sen,M,6/4/1971,White - Non-Hispanic,Not up,2794015.0,65325.0,RepDLesko
288,Lesko,Debbie,AZ,Republican,rep,F,11/14/1958,White - Non-Hispanic,Won,723400.0,61754.0,RepAndyLevin
289,Levin,Andy,MI,Democrat,rep,M,,White - Non-Hispanic,Open - Retired,683705.0,56582.0,RepMikeLevin
290,Levin,Mike,CA,Democrat,rep,M,,Hispanic - Mexican / Jewish,Open - Retired,669725.0,80877.0,RepJohnLewis
291,Lewis,John,GA,Democrat,rep,M,2/21/1940,Black - African-American,Won,693925.0,48269.0,RepTedLieu
292,Lieu,Ted,CA,Democrat,rep,M,3/29/1969,Asian - Chinese,Won,650100.0,101956.0,RepLipinski
293,Lipinski,Daniel,IL,Democrat,rep,M,7/15/1966,White - Non-Hispanic,Won,647710.0,66270.0,DaveLoebsack
294,Loebsack,David,IA,Democrat,rep,M,12/23/1952,White - Non-Hispanic,Won,752465.0,52150.0,RepZoeLofgren
295,Lofgren,Zoe,CA,Democrat,rep,F,12/21/1947,White - Non-Hispanic,Won,630895.0,93139.0,USRepLong
296,Long,Billy,MO,Republican,rep,M,8/11/1955,White - Non-Hispanic,Won,749240.0,44619.0,RepLoudermilk
297,Loudermilk,Barry,GA,Republican,rep,M,12/22/1963,White - Non-Hispanic,Won,680000.0,69610.0,RepLowenthal
298,Lowenthal,Alan,CA,Democrat,rep,M,3/8/1941,White - Non-Hispanic,Won,622865.0,65450.0,NitaLowey
299,Lowey,Nita,NY,Democrat,rep,F,7/5/1937,White - Non-Hispanic,Won,652005.0,94451.0,RepFrankLucas
300,Lucas,Frank,OK,Republican,rep,M,1/6/1960,White - Non-Hispanic,Won,747915.0,47724.0,RepBlaine
301,Luetkemeyer,Blaine,MO,Republican,rep,M,5/7/1952,White - Non-Hispanic,Won,759400.0,61929.0,RepBenRayLujan
302,Lujan,Ben,NM,Democrat,rep,M,6/7/1972,Hispanic - New Mexican (Hispanos),Won,663825.0,49210.0,RepElaineLuria
303,Luria,Elaine,VA,Democrat,rep,F,,White - Non-Hispanic,Lost,712635.0,66953.0,RepStephenLynch
304,Lynch,Stephen,MA,Democrat,rep,M,3/31/1955,White - Non-Hispanic,Won,705680.0,82333.0,RepMalinowski
305,Malinowski,Tom,NJ,Democrat,rep,M,,White - Non-Hispanic,Lost,688390.0,106896.0,RepMaloney
306,Maloney,Carolyn,NY,Democrat,rep,F,2/19/1946,White - Non-Hispanic,Won,624705.0,100281.0,Sen_JoeManchin
307,Maloney,Sean,NY,Democrat,rep,M,7/30/1966,White - Non-Hispanic,Won,686265.0,80493.0,RepKenMarchant
308,Manchin,Joe,WV,Democrat,sen,M,8/24/1947,White - Non-Hispanic,Won,1831855.0,44061.0,SenMarkey
309,Marchant,Kenny,TX,Republican,rep,M,2/23/1951,White - Non-Hispanic,Won,650200.0,70454.0,RepMarshall
310,Markey,Edward,MA,Democrat,sen,M,7/11/46,White - Non-Hispanic,Not up,6234915.0,74167.0,RepThomasMassie
311,Marshall,Roger,KS,Republican,rep,M,8/9/1960,White - Non-Hispanic,Won,678245.0,48156.0,repbrianmast
312,Massie,Thomas,KY,Republican,rep,M,1/13/1971,White - Non-Hispanic,Won,731055.0,60912.0,DorisMatsui
313,Mast,Brian,FL,Republican,rep,M,7/10/1980,Hispanic - Mexican,Won,682745.0,54913.0,RepBenMcAdams
314,Matsui,Doris,CA,Democrat,rep,F,9/25/1944,Asian - Japanese,Won,654205.0,51932.0,replucymcbath
315,McAdams,Ben,UT,Democrat,rep,M,,White - Non-Hispanic,Lost,707300.0,68711.0,GOPLeader
316,McBath,Lucy,GA,Democrat,rep,F,,Black - African-American,Lost,641380.0,87139.0,RepMcCaul
317,McCarthy,Kevin,CA,Republican,rep,M,1/26/1965,White - Non-Hispanic,Won,674330.0,54437.0,RepMcClintock
318,McCaul,Michael,TX,Republican,rep,M,1/14/1962,White - Non-Hispanic,Won,705310.0,73476.0,BettyMcCollum04
319,McClintock,Tom,CA,Republican,rep,M,7/10/1956,White - Non-Hispanic,Won,690565.0,74074.0,McConnellPress
320,McCollum,Betty,MN,Democrat,rep,F,7/12/1954,White - Non-Hispanic,Won,648390.0,66175.0,RepMcEachin
321,McConnell,Mitch,KY,Republican,sen,M,2/20/1942,White - Non-Hispanic,Not up,4314920.0,46535.0,RepMcGovern
322,McEachin,A.,VA,Democrat,rep,M,10/10/1961,Black - African-American,Won,734400.0,54607.0,PatrickMcHenry
323,McGovern,James,MA,Democrat,rep,M,11/20/1959,White - Non-Hispanic,Won,696955.0,64868.0,RepMcKinley
324,McHenry,Patrick,NC,Republican,rep,M,10/22/1975,White - Non-Hispanic,Won,721990.0,46508.0,CathyMcMorris
325,McKinley,David,WV,Republican,rep,M,3/28/1947,White - Non-Hispanic,Won,611095.0,45611.0,RepMcNerney
326,McMorris Rodgers,Cathy,WA,Republican,rep,F,5/22/1969,White - Non-Hispanic,Won,669340.0,51697.0,SenMcSallyAZ
327,McNerney,Jerry,CA,Democrat,rep,M,6/18/1951,White - Non-Hispanic,Won,650890.0,61454.0,RepMarkMeadows
328,McSally,Martha,AZ,Republican,sen,F,3/22/1966,White - Non-Hispanic,Not up,6192380.0,53510.0,RepGregoryMeeks
329,Meadows,Mark,NC,Republican,rep,M,7/28/1959,White - Non-Hispanic,Won,721835.0,43855.0,SenatorMenendez
330,Meeks,Gregory,NY,Democrat,rep,M,9/25/1953,Black - African-American,Won,653825.0,66529.0,RepGraceMeng
331,Menendez,Robert,NJ,Democrat,sen,M,1/1/1954,Hispanic - Cuban,Won,8019215.0,76475.0,SenJeffMerkley
332,Meng,Grace,NY,Democrat,rep,F,10/1/1975,Asian - Chinese,Won,575660.0,61956.0,RepMeuser
333,Merkley,Jeff,OR,Democrat,sen,M,10/24/1956,White - Non-Hispanic,Not up,3753590.0,56119.0,RepCarolMiller
334,Meuser,Daniel,PA,Republican,rep,M,,White - Non-Hispanic,Open - Ran for Senate,698087.0,,RepPaulMitchell
335,Miller,Carol,WV,Republican,rep,F,,White - Non-Hispanic,Vacant - Ran for Senate and resigned upon apointment to the state Supreme Court,600945.0,37728.0,RepMoolenaar
336,Mitchell,Paul,MI,Republican,rep,M,5/8/1961,White - Non-Hispanic,Won,696715.0,60934.0,RepAlexMooney
337,Moolenaar,John,MI,Republican,rep,M,5/8/1961,White - Non-Hispanic,Won,694060.0,48434.0,RepGwenMoore
338,Mooney,Alex,WV,Republican,rep,M,6/5/1971,Hispanic - Cuban,Won,619815.0,48358.0,JerryMoran
339,Moore,Gwen,WI,Democrat,rep,F,4/18/1951,Black - African-American,Won,672620.0,41816.0,RepJoeMorelle
340,Moran,Jerry,KS,Republican,sen,M,5/29/1954,White - Non-Hispanic,Not up,2771385.0,55477.0,teammoulton
341,Morelle,Joseph,NY,Democrat,rep,M,4/29/1957,White - Non-Hispanic,Vacant - Death,694650.0,53723.0,RepDMP
342,Moulton,Seth,MA,Democrat,rep,M,10/24/1978,White - Non-Hispanic,Won,712620.0,84913.0,RepMullin
343,Mucarsel-Powell,Debbie,FL,Democrat,rep,F,,Hispanic - Ecuadorean,Lost,613525.0,54453.0,LisaMurkowski
344,Mullin,Markwayne,OK,Republican,rep,M,7/26/1977,Native American - Cherokee,Won,738850.0,40770.0,senmurphyoffice
345,Murkowski,Lisa,AK,Republican,sen,F,5/22/1957,White - Non-Hispanic,Not up,712745.0,76114.0,RepStephMurphy
346,Murphy,Christopher,CT,Democrat,sen,M,8/3/1973,White - Non-Hispanic,Won,3333940.0,73781.0,PattyMurray
347,Murphy,Stephanie,FL,Democrat,rep,F,9/16/1978,Asian - Vietnamese,Won,696785.0,57146.0,RepJerryNadler
348,Murray,Patty,WA,Democrat,sen,F,10/11/1950,White - Non-Hispanic,Not up,6564110.0,66174.0,GraceNapolitano
349,Nadler,Jerrold,NY,Democrat,rep,M,6/13/1947,White - Non-Hispanic,Won,618050.0,85756.0,RepRichardNeal
350,Napolitano,Grace,CA,Democrat,rep,F,12/4/1936,Hispanic - Mexican,Won,603855.0,67101.0,RepJoeNeguse
351,Neal,Richard,MA,Democrat,rep,M,2/14/1949,White - Non-Hispanic,Won,707070.0,55716.0,RepNewhouse
352,Neguse,Joe,CO,Democrat,rep,M,,Black - Eritrean,Open - Elected governor,740025.0,75659.0,DonaldNorcross
353,Newhouse,Dan,WA,Republican,rep,M,7/10/1955,White - Non-Hispanic,Won,619980.0,52484.0,RepRalphNorman
354,Norcross,Donald,NJ,Democrat,rep,M,12/13/1958,White - Non-Hispanic,Won,700485.0,68208.0,EleanorNorton
355,Norman,Ralph,SC,Republican,rep,M,6/20/1953,White - Non-Hispanic,Won,674325.0,48743.0,RepDevinNunes
356,Norton,Eleanor,DC,Democrat,rep,F,6/13/1937,,,,,repohalleran
357,Nunes,Devin,CA,Republican,rep,M,10/1/1973,White - Portuguese-American,Won,662435.0,56524.0,RepAOC
358,O'Halleran,Tom,AZ,Democrat,rep,M,1/24/1946,White - Non-Hispanic,Won,709770.0,50537.0,RepPeteOlson
359,Ocasio-Cortez,Alexandria,NY,Democrat,rep,F,,Hispanic - Puerto Rican,Lost in primary,540950.0,53512.0,Ilhan
360,Olson,Pete,TX,Republican,rep,M,12/9/1962,White - Non-Hispanic,Won,722835.0,87901.0,CongPalazzo
361,Omar,Ilhan,MN,Democrat,rep,F,,Black - Somali,Open - Elected state attorney general,636825.0,59115.0,FrankPallone
362,Palazzo,Steven,MS,Republican,rep,M,2/21/1970,White - Non-Hispanic,Won,747545.0,45192.0,USRepGaryPalmer
363,Pallone,Frank,NJ,Democrat,rep,M,10/30/1951,White - Non-Hispanic,Won,638160.0,79229.0,RepJimmyPanetta
364,Palmer,Gary,AL,Republican,rep,M,5/14/1954,White - Non-Hispanic,Won,673110.0,61413.0,RepChrisPappas
365,Panetta,Jimmy,CA,Democrat,rep,M,10/1/1969,White - Non-Hispanic,Won,596880.0,67419.0,BillPascrell
366,Pappas,Chris,NH,Democrat,rep,M,,White - Non-Hispanic,Open - Retired,648965.0,71277.0,RepSeanMaloney
367,Pascrell,Bill,NJ,Democrat,rep,M,1/25/1937,White - Non-Hispanic,Won,630465.0,64964.0,RandPaul
368,Paul,Rand,KY,Republican,sen,M,1/7/1963,White - Non-Hispanic,Not up,4314920.0,46535.0,RepDonaldPayne
369,Payne,Donald,NJ,Democrat,rep,M,12/17/1958,Black - African-American,Won,645270.0,50100.0,SpeakerPelosi
370,Pelosi,Nancy,CA,Democrat,rep,F,3/26/1940,White - Non-Hispanic,Won,642175.0,105918.0,RepGregPence
371,Pence,Greg,IN,Republican,rep,M,,White - Non-Hispanic,Open - Ran for Senate,706690.0,51033.0,sendavidperdue
372,Perdue,David,GA,Republican,sen,M,12/10/1949,White - Non-Hispanic,Not up,9507600.0,52977.0,RepPerlmutter
373,Perlmutter,Ed,CO,Democrat,rep,M,5/1/1953,White - Non-Hispanic,Won,715950.0,66063.0,RepScottPerry
374,Perry,Scott,PA,Republican,rep,M,5/27/1962,White - Non-Hispanic,Won,698554.0,,RepScottPeters
375,Peters,Scott,CA,Democrat,rep,M,6/17/1958,White - Non-Hispanic,Won,667510.0,90854.0,SenGaryPeters
376,Peters,Gary,MI,Democrat,sen,M,12/1/1958,White - Non-Hispanic,Not up,9601980.0,52668.0,
377,Peterson,Collin,MN,Democrat,rep,M,6/29/1944,White - Non-Hispanic,Won,650900.0,52620.0,RepDeanPhillips
378,Phillips,Dean,MN,Democrat,rep,M,,White - Non-Hispanic,Lost,659750.0,84689.0,ChelliePingree
379,Pingree,Chellie,ME,Democrat,rep,F,4/2/1955,White - Non-Hispanic,Won,660215.0,61173.0,staceyplaskett
380,Plaskett,Stacey,VI,Democrat,rep,F,5/13/1966,,,,,RepMarkPocan
381,Pocan,Mark,WI,Democrat,rep,M,8/14/1964,White - Non-Hispanic,Won,710080.0,65589.0,RepKatiePorter
382,Porter,Katie,CA,Democrat,rep,F,,White - Non-Hispanic,Lost,660030.0,97356.0,SenRobPortman
383,Portman,Robert,OH,Republican,sen,M,12/19/1955,White - Non-Hispanic,Not up,11348025.0,52407.0,CongBillPosey
384,Posey,Bill,FL,Republican,rep,M,12/18/1947,White - Non-Hispanic,Won,695070.0,50752.0,RepPressley
385,Pressley,Ayanna,MA,Democrat,rep,F,,Black - African-American,Lost in primary,636625.0,60873.0,RepDavidEPrice
386,Price,David,NC,Democrat,rep,M,8/17/1940,White - Non-Hispanic,Won,731965.0,70587.0,RepMikeQuigley
387,Quigley,Mike,IL,Democrat,rep,M,10/17/1958,White - Non-Hispanic,Won,662430.0,80269.0,repraskin
388,Raskin,Jamie,MD,Democrat,rep,M,12/13/1962,White - Non-Hispanic,Won,664065.0,98991.0,RepRatcliffe
389,Ratcliffe,John,TX,Republican,rep,M,10/20/1965,White - Non-Hispanic,Won,691220.0,52481.0,RepTomReed
390,Reed,Tom,NY,Republican,rep,M,11/18/1971,White - Non-Hispanic,Won,694140.0,48730.0,SenJackReed
391,Reed,John,RI,Democrat,sen,M,11/12/1949,White - Non-Hispanic,Not up,986560.0,61043.0,GReschenthaler
392,Reschenthaler,Guy,PA,Republican,rep,M,,White - Non-Hispanic,Open - Elected in PA-17,693644.0,,RepTomRice
393,Rice,Tom,SC,Republican,rep,M,8/4/1957,White - Non-Hispanic,Won,671790.0,43146.0,RepKathleenRice
394,Rice,Kathleen,NY,Democrat,rep,F,2/15/1965,White - Non-Hispanic,Won,654400.0,100178.0,RepRichmond
395,Richmond,Cedric,LA,Democrat,rep,M,9/13/1973,Black - African-American,Won,752895.0,36798.0,RepRiggleman
396,Riggleman,Denver,VA,Republican,rep,M,,White - Non-Hispanic,Open - Retired,713215.0,52237.0,SenatorRisch
397,Risch,James,ID,Republican,sen,M,5/3/1943,White - Non-Hispanic,Not up,1574200.0,50985.0,SenPatRoberts
398,Roberts,Pat,KS,Republican,sen,M,4/20/1936,White - Non-Hispanic,Not up,2771385.0,55477.0,RepMarthaRoby
399,Roby,Martha,AL,Republican,rep,F,7/27/1976,White - Non-Hispanic,Won,671185.0,42035.0,DrPhilRoe
400,Roe,David,TN,Republican,rep,M,7/21/1945,White - Non-Hispanic,Won,698495.0,41006.0,RepHalRogers
401,Rogers,Harold,KY,Republican,rep,M,12/31/1937,White - Non-Hispanic,Won,707830.0,30585.0,RepMikeRogersAL
402,Rogers,Mike,AL,Republican,rep,M,7/16/1958,White - Non-Hispanic,Won,687545.0,46544.0,SenatorRomney
403,Romney,Mitt,UT,Republican,sen,M,3/12/1947,White - Non-Hispanic,Open - Retired,2794015.0,65325.0,RepRooney
404,Rooney,Francis,FL,Republican,rep,M,12/4/1953,White - Non-Hispanic,Won,688235.0,54812.0,RepMaxRose
405,Rose,Max,NY,Democrat,rep,M,,White - Non-Hispanic,Lost,653305.0,71072.0,RepJohnRose
406,Rose,John,TN,Republican,rep,M,,White - Non-Hispanic,Open - Ran for governor,722305.0,50731.0,SenJackyRosen
407,Rosen,Jacky,NV,Democrat,sen,F,8/2/1957,White - Non-Hispanic,Lost,2547140.0,55434.0,RepHarley
408,Rouda,Harley,CA,Democrat,rep,M,,White - Non-Hispanic,Lost,656895.0,88903.0,SenatorRounds
409,Rounds,Mike,SD,Republican,sen,M,10/24/1954,White - Non-Hispanic,Not up,833720.0,54126.0,RepDavidRouzer
410,Rouzer,David,NC,Republican,rep,M,2/16/1972,White - Non-Hispanic,Won,733585.0,45002.0,RepChipRoy
411,Roy,Chip,TX,Republican,rep,M,,White - Non-Hispanic,Open - Retired,720115.0,68987.0,RepRoybalAllard
412,Roybal-Allard,Lucille,CA,Democrat,rep,F,6/12/1941,Hispanic - Mexican,Won,513225.0,42902.0,SenRubioPress
413,Rubio,Marco,FL,Republican,sen,M,5/28/1971,Hispanic - Cuban,Not up,18101505.0,50883.0,CongressmanRuiz
414,Ruiz,Raul,CA,Democrat,rep,M,8/25/1972,Hispanic - Mexican,Won,637385.0,44567.0,Call_Me_Dutch
415,Ruppersberger,C.,MD,Democrat,rep,M,1/31/1946,White - Non-Hispanic,Won,706580.0,69128.0,RepBobbyRush
416,Rush,Bobby,IL,Democrat,rep,M,11/23/1946,Black - African-American,Won,684775.0,50523.0,RepRutherfordFL
417,Rutherford,John,FL,Republican,rep,M,9/2/1952,White - Non-Hispanic,Won,717255.0,68229.0,RepTimRyan
418,Ryan,Tim,OH,Democrat,rep,M,7/16/1973,White - Non-Hispanic,Won,696855.0,42430.0,Kilili_Sablan
419,Sablan,Gregorio,MP,Democrat,rep,M,1/19/1955,,,,,
420,Sanchez,Linda,CA,Democrat,rep,F,1/28/1969,Hispanic - Mexican,Won,625175.0,66421.0,RepLindaSanchez
421,Sanders,Bernard,VT,Independent,sen,M,9/8/1941,White - Non-Hispanic,Won,613910.0,57808.0,SenSanders
422,Sarbanes,John,MD,Democrat,rep,M,5/22/1962,White - Non-Hispanic,Won,693445.0,83620.0,RepSarbanes
423,Sasse,Benjamin,NE,Republican,sen,M,2/22/1972,White - Non-Hispanic,Not up,1799310.0,56675.0,SenSasse
424,Scalise,Steve,LA,Republican,rep,M,10/6/1965,White - Non-Hispanic,Won,762895.0,56938.0,SteveScalise
425,Scanlon,Mary,PA,Democrat,rep,F,8/30/1959,White - Non-Hispanic,Vacant - Resignation,675299.0,,RepMGS
426,Schakowsky,Janice,IL,Democrat,rep,F,5/26/1944,White - Non-Hispanic,Won,640635.0,67084.0,JanSchakowsky
427,Schatz,Brian,HI,Democrat,sen,M,10/20/1972,White - Non-Hispanic,Not up,1303955.0,74923.0,SenBrianSchatz
428,Schiff,Adam,CA,Democrat,rep,M,6/22/1960,White - Non-Hispanic,Won,600475.0,63940.0,RepAdamSchiff
429,Schneider,Bradley,IL,Democrat,rep,M,8/20/1961,White - Non-Hispanic,Won,627430.0,74971.0,repschneider
430,Schrader,Kurt,OR,Democrat,rep,M,10/19/1951,White - Non-Hispanic,Won,748460.0,60395.0,RepSchrader
431,Schrier,Kim,WA,Democrat,rep,F,,White - Non-Hispanic,Open - Retired,666200.0,79516.0,RepKimSchrier
432,Schumer,Charles,NY,Democrat,sen,M,11/23/1950,White - Non-Hispanic,Not up,17677055.0,62765.0,SenSchumer
433,Schweikert,David,AZ,Republican,rep,M,3/3/1962,White - Non-Hispanic,Won,696790.0,67830.0,RepDavid
434,Scott,Robert,VA,Democrat,rep,M,4/30/1947,Black - African-American/Asian - Filipino,Won,719895.0,51794.0,RepDavidScott
435,Scott,David,GA,Democrat,rep,M,6/27/1945,Black - African-American,Won,684200.0,57342.0,BobbyScott
436,Scott,Rick,FL,Republican,sen,M,12/1/1952,White - Non-Hispanic,Lost,18101505.0,50883.0,
437,Scott,Austin,GA,Republican,rep,M,12/10/1969,White - Non-Hispanic,Won,682145.0,44360.0,AustinScottGA08
438,Scott,Tim,SC,Republican,sen,M,9/19/1965,Black - African-American,Not up,4694715.0,48781.0,SenatorTimScott
439,Sensenbrenner,F.,WI,Republican,rep,M,6/14/1943,White - Non-Hispanic,Won,702210.0,68162.0,JimPressOffice
440,Serrano,Jose,NY,Democrat,rep,M,10/24/1943,Hispanic - Puerto Rican,Won,590245.0,29234.0,RepJoseSerrano
441,Sewell,Terri,AL,Democrat,rep,F,1/1/1965,Black - African-American,Won,662645.0,34664.0,RepTerriSewell
442,Shaheen,Jeanne,NH,Democrat,sen,F,1/28/1947,White - Non-Hispanic,Not up,1291410.0,71305.0,SenatorShaheen
